5.900453700000000000e+07,5.901100000000000000e+05,4.053530000000000000e+05
5.896042287041183561e+07,6.251457101807832951e+05,4.144314194073674735e+05
5.891372689542622119e+07,6.622245343013458187e+05,4.240485702724103467e+05
5.886430307231585681e+07,7.014610922672125744e+05,4.342358354169032536e+05
5.881199775902175158e+07,7.429758855850729160e+05,4.450263553931540227e+05
5.875664935995905101e+07,7.868955243792355759e+05,4.564551156616919907e+05
5.869808800453403592e+07,8.333529571320457617e+05,4.685590383338932297e+05
5.863613517878277600e+07,8.824877318675176939e+05,4.813770893496834324e+05
5.857060344509687275e+07,9.344461901831363793e+05,4.949503647199710831e+05
5.850129608889140934e+07,9.893817102296907688e+05,5.093222008788745152e+05
5.842800679475093633e+07,1.047454924610301154e+06,5.245382806387394667e+05
5.835051932671397924e+07,1.108833930276341271e+06,5.406467430096577154e+05
5.826860721875207871e+07,1.173694484620092437e+06,5.576982966278074309e+05
5.818203347074344009e+07,1.242220194692149758e+06,5.757463345643850043e+05
5.809055026787508279e+07,1.314602678900893079e+06,5.948470532239958411e+05
5.799389871054863930e+07,1.391041715428854804e+06,6.150595740224800538e+05
5.789180858850178868e+07,1.471745345397445140e+06,6.364460661007387098e+05
5.778399814104229957e+07,1.556929989861855283e+06,6.590718690958265215e+05
5.767017392320161313e+07,1.646820455773648573e+06,6.830056210247192066e+05
5.755003061579759419e+07,1.741650002631235635e+06,7.083193815711453790e+05
5.742325099617546052e+07,1.841660243968185736e+06,7.350887598563253414e+05
5.728950584116423130e+07,1.947101121087757638e+06,7.633930377479840536e+05
5.714845402856142074e+07,2.058230677869793959e+06,7.933152935687578283e+05
5.699974259057877958e+07,2.175314888192780316e+06,8.249425212284161244e+05
